,İsim,IMDb Puanı,Yıl,Ülke,Film Süresi,Türler,Yönetmen,Senarist,Oyuncular,Ödüller,Konu
789,Ryan’s Daughter - İrlandalı Kız,7.4,1970,Ülke belirtilmemiş,200 dakika,"Dram, Romantik",David Lean,obert Bolt,"John Mills, Robert Mitchum, Trevor Howard",2 Oscar Kazandı. 9 ödül & 21 adaylık. total,"1916 Paskalya Ayaklanması'nın ardından, küçük bir İrlanda köyünde evli bir kadının sorunlu bir İngiliz subayıyla ilişkisine bakış..."
790,Death in Venice - Venedik’te Ölüm(Morte a Venezia) ,7.4,1971,"Fransa, Italy",130 dakika,"Dram, Romantik",Luchino Visconti,"homas Mann, Luchino Visconti, Nicola Badalucco ","Dirk Bogarde, Mark Burns, Nora Ricci, Romolo Valli",1 Oscar Adaylığı. Diğer 18 ödül & 6 adaylık.,Besteci Gustave Aschenbach kişisel ve sanatsal stresten kaçıp kafa dinlemek için Venedik'teki bir tatil köyüne gider. Burada bir gün uzun zamandır aradığı güzellik idealini temsil eden bir çocukla karşılaşır ve ona karşı rahatsız edici bir ilgi duymaya başlar. Bu sırada Avrupada ortaya çıkan ani kolera salgını nedeniyle hayatları tehlike altına girer. Kült filmlerden 720p görüntü kalitesiyle Death in Venice altyazılı izle yebilirisniz. 
791,Ida,7.4,2013,"Denmark, Fransa, İngiltere, Poland",82 dakika,Dram,Pawel Pawlikowski,"awel Pawlikowski, Rebecca Lenkiewicz ","Agata Kulesza, Agata Trzebuchowska, Dawid Ogrodnik, Jerzy Trela",1 Oscar Kazandı. Diğer 67 ödül & 91 adaylık.,"Polonya, 1962. Rahibeler tarafından manastırda büyütülmüş bir yetim olan Anna’nın yeminini vermeden önce yaşayan tek akrabası olan Wanda'yı görmesi gerekiyor. Wanda, Anna'ya Yahudi kökenlerinden bahseder. Her iki kadın da sadece ailelerinin trajik hikayesini bulmak için değil, gerçekte kim olduklarını ve nereye ait olduklarını öğrenmek için bir yolculuğa çıkarlar ve neye inandıklarını sorgularlar. Kült filmlerden 1080p görüntü kalitesiyle Ida altyazılı izle yebilirsiniz."
792,Capote,7.4,2005,"Canada, United States",114 dakika,"Biyografi, Dram, Suç",Bennett Miller,"an Futterman, Gerald Clarke","Catherine Keener, Clifton Collins Jr., Philip Seymour Hoffman",1 Oscar Kazandı. 59 ödül & 89 adaylık. total,"Kansaslı bir ailenin öldürülmesini okuyan New Yorklu romancı Truman Capote, hikayeyi kendisi yazmaya karar verir ve çocukluk arkadaşı, hevesli romancı Harper Lee ile küçük bir kasabaya seyahat eder. Perry Smith ve Dick Hickock tutuklanıp suçlandıklarında, Capote, genç suçlunun bariz suçluluğuna rağmen, hapishane görüşmeleri sırasında Smith ile duygusal bir bağ kurar. Kült Filmlerden 1080p görüntü kalitesiyle Capote izle yebilirsiniz."
793,Nowhere Special(Alelade Bir Yuva) ,7.4,2020,"Italy, Romania, United Kingdom",96 dakika,Dram,Uberto Pasolini,berto Pasolini,"Carol Moore, Daniel Lamont, James Norton",4 ödül & 8 Adaylık.,"Otuz beş yaşındaki bir pencere temizleyicisi olan John'a sadece birkaç aylık ömrü kaldığında, üç yaşındaki oğlu için yeni ve mükemmel bir aile bulmaya çalışır ve bu süreçte dünyanın korkunç gerçekleriyle yüzleşmek zorunda kalır."
794,The Willow Tree - Söğüt Ağacı(Bid-i Mecnun) ,7.4,2005,İran,96 dakika,Dram,Majid Majidi,"ajid Majidi, Majid Majidi, Fouad Nahas, Nasser Hashemzadeh ","Mohammad Amir Naji, Parviz Parastui, Roya Taymourian, Soghra Obeisi",1 ödül,Doğduğundan beri kör olan bir insan aniden görme yeteneğini geri kazansa ilk olarak ne yapardı? İran sinemasının yapı taşlarından olan Cennetin Rengi filmiyle tanıdığımız Majid Majidi bu sürükleyici filminde elli yaşına merdiven dayamış kör bir profesör olan Yusuf'un bir umut ile ameliyat olmasını ve bundan sonra Yusuf için başlayan yeni hayatı gözler önüne seriyor. Bid-i Mecnun filmini 720p görüntü kalitesiyle türkçe altyazılı olarak izleyebilirsiniz...
795,Çoğunluk(Majority) ,7.4,2010,Türkiye,111 dakika,"Dram, Yerli",Seren Yüce,eren Yüce,"Bartu Küçükçaglayan, Esme Madra, Nihal G. Koldas, Settar Tanriögen",20 ödül & 16 Adaylık.,"Mertkan'ın İstanbul'un yoğun yaşam temposunda sade bir hayat sürüyor. Babasının inşaat şirketinde çalışıyor, arkadaşlarıyla alışveriş merkezlerinde ve diskolarda takılıyor, geceleri babasının aracıyla dolaşıyor. Bir süre sonra Mertkan da bu tekdüze hayatına bir anlam katma ihtiyacı doğacaktır. Türkiye'nin doğusundan gelip garsonluk yaparak üniversite eğitimini tamamlamaya çalışan bir Kürt kızı olan Gül'le tanışan Mertkan, hayatının beyhudeliğini değiştirme şansı yakalar. Ancak babası, Mertkan'ın bu kızla olan bağına karşı çıkıyor. Mertkan bir seçim yapmak zorunda, peki 'Çoğunluğun' toplumsal değerlerine boyun eğip babasının olmasını istediği gibi bir adam mı olacak? 2010 Yapımı Çoğunluk filmini kült filmlerden 720p izle yebilirsiniz"
796,J’ai tué ma mère - Annemi Öldürdüm(I Killed My Mother) ,7.4,2009,Canada,96 dakika,"Dram, Romantik",Xavier Dolan,avier Dolan,"Anne Dorval, François Arnaud, Xavier Dolan",28 ödül & 15 Adaylık.,"Bir genç, yavaş yavaş suçluluk duygularını ileten çok pasif bir kadın olan annesine karşı içgüdüsel bir nefret geliştirir. Kaba davranışlarından kötü giyim zevkine kadar onunla ilgili her şeyden rahatsız olmaya başlar. Annemi Öldürdüm'de Dolan, eşcinsel bir genç ile bekar annesi arasındaki gergin ilişkiyi rüya gibi, yürek burkan ayrıntılarla belgeliyor."
797,The Enemy Below - Kanlı Deniz,7.4,1957,United States,98 dakika,"Aksiyon, Dram, Macera",Dick Powell,"endell Mayes, D.A. Rayner","Curd Jürgens, David Hedison, Robert Mitchum",1 Oscar Kazandı. 3 ödül & 3 adaylık. total,"İkinci Dünya Savaşı sırasında, bir Amerikan destroyeri Güney Atlantik'te bir Alman U-botu keşfeder. İki gemi arasında ölümcül bir düello başlar ve Amerikalı Kaptan, eşit derecede deneyimli Alman komutanı yenmek için tüm deneyimini kullanmak zorundadır."
798,Heroic Losers - Kahramanca Kaybedenler(La odisea de los giles) ,7.4,2019,"Arjantin, İspanya",116 dakika,"Komedi, Macera, Suç",Sebastián Borensztein,"ebastián Borensztein, Eduardo Sacheri, Eduardo Sacheri","Daniel Aráoz, Luis Brandoni, Ricardo Darín, Verónica Llinás",2 ödül & 4 Adaylık.,"Bir grup arkadaş ve komşu, bir tarım kooperatifini ve küçük kasabalarının ekonomisini yeniden canlandırmak için tüm birikimlerini bir araya getiriyor. Grubun parasını bankaya yatırdıkları günün ertesi günü Arjantin ekonomisi ve bankacılık sistemi çöküyor. Ancak kısa süre sonra yalnızca ülkenin ekonomik çöküşünün kurbanı olmadıklarını, durumdan yararlanmaya hazır olan vicdansız bir avukat ve banka müdürü tarafından dolandırıldıklarını anlarlar. Bu küçük kasaba grubu bir araya gelir ve intikam için plan yapmaya başlar... Heroic Losers filmini kült filmlerden 1080p görüntü kalitesiyle türkçe altyazılı olarak izleyebilirsiniz. "
799,The Secret of the Grain - Balıklı Bulgur(The Secret of the Grain) ,7.4,2007,Fransa,151 dakika,Dram,Abdellatif Kechiche,"bdellatif Kechiche, Ghalya Lacroix","Abdelhamid Aktouche, Farida Benkhetache, Habib Boufares, Hafsia Herzi",19 ödül & 10 Adaylık.,"Sète limanında, 60 yaşındaki Bay Slimani, kendini yıllar geçtikçe başa çıkması daha zor hale gelen bir tersane işine sürükler. Slimani, maddi zorlukların daha da yoğunlaştırdığı bölünmelere ve gerilimlere rağmen kendisini ailesine yakın kalmaya zorlayan boşanmış bir babadır. Hayatında hassas bir dönemden geçiyor ve son zamanlarda bir başarısızlığı yüzünden her şey onu işe yaramaz hissettiriyor. Onca şeyin arasında her şeyden kaçmak ve kendi restoranını kurmak istiyor. Peki hayalindeki restoranı kurabilecek mi? Kült filmlerden 1080p görüntü kalitesiyle The Secret of the Grain altyazılı izle yebilirsiniz."
800,Rabid Dogs - Kuduz Köpek(Cani arrabbiati) ,7.4,1974,Italy,96 dakika,"Dram, Gerilim, Suç",Mario Bava,"lessandro Parenzo, Mario Bava, Cesare Frugoni","George Eastman, Lea Lander, Riccardo Cucciolla",Bulunan ödül yok.,"Beceriksiz bir soygunun ardından, üç şiddetli suçlu genç bir kadın, orta yaşlı bir adam ve bir çocuğu rehin alır ve güvenli bir şekilde kaçabilmelerine yardımcı olmak için onları Roma'nın dışına sürmeye zorlar."
801,No Mercy - Merhamet Yok(Yongseoneun eupda) ,7.4,2010,South Korea,123 dakika,"Gerilim, Gizem, Suç",Hyeong-Joon Kim,yeong-Joon Kim,"Hye-jin Han, Seung-beom Ryu, Sol Kyung-gu",1 ödül & 1 nomination,"Bir seri katil, katil olduğu neredeyse kanıtlanmış olmasına rağmen, onu kefaletle serbest bırakmazsa adli bir patoloji uzmanının kızını öldürmekle tehdit ediyor."
802,Doctor Sleep - Doktor Uyku,7.4,2019,"Amerika, Kanada",152 dakika,"Dram, Fantastik, Korku",Mike Flanagan,"ike Flanagan, Stephen King ","Cliff Curtis, Ewan McGregor, Kyliegh Curran, Rebecca Ferguson",7 ödül & 26 Adaylık.,"Alkolik bir adam olan Dan Torrance, çocukken Overlook Hotelinde meydana gelen kötü olaylardan dolayı uzun bir süredir travma yaşamaya devam ediyor. Korkunç çocukluk yıllarını geçirdiği Overlook Oteli sakinlerinin peşine düşen Dan, babasından kalan umutsuzluk, alkolizm ve şiddet mirasından kurtulmak için yıllardır çabalıyor. Abra Stone adındaki genç bir kızla tanışmasıyla birikte hayatı farklı bir boyut kazanmaya başlayacaktır..."
803,A Hidden Life - Gizli Bir Yaşam,7.4,2019,"Almanya, Amerika, İngiltere",174 dakika,"Biyografi, Dram, Romantik",Terrence Malick,errence Malick,"August Diehl, Karin Neuhäuser, Maria Simon, Valerie Pachner",7 ödül & 24 Adaylık.,"Gerçek bir yaşam öyküsüne dayanan A Hidden Life, İkinci Dünya Savaşı'nda Naziler için savaşmayı reddeden vicdani retçi Franz Jägerstätter'in hikayesini ele alıyor. Franz Jägerstätter ailesiyle birlikte köyünde mutlu ve sakin bir yaşam sürerken savaşmayı reddetmesi üzerine vatana ihanetten infaz tehdidiyle karşı karşıya kalıyor ancak karısı Fanni ve çocuklarına olan sevgisi inancını daima canlı tutuyor... A Hidden Life – Gizli Bir Yaşam filmini kült filmlerden 720p görüntü kalitesiyle türkçe altyazılı olarak izleyebilirsiniz."
804,The Silent Revolution(Das Schweigende Klassenzimmer) ,7.4,2018,Almanya,111 dakika,"Dram, Tarih",Lars Kraume,"ietrich Garstka, Lars Kraume ","Isaiah Michalski, Lena Klenke, Leonard Scheicher, Tom Gramenz",8 ödül & 8 Adaylık.,"Film 1956 yılında bir lise sınıfının öğrencilerinin hikâyesini ve anti-komünist Macar Devrimi sırasında zarar gören insanları ele alıyor. Theo ve Kurt Berlin’in Batı bölümünde geziniyorlar ve Budapeşte içerisinde durdurulmuş halk isyanının beklenmedik görüntülerini sinemaya gittiklerinde haber filmi içerisinde görüyorlar. Kurt ve Theo Doğu Almanya tarafına tekrar gittiklerinde sınıf arkadaşları Lena, Erik ve Paul ile birlikte zarar gören kurbanlar için bir şeyler yapmayı düşündüklerini görüyorlar. Ancak okul yönetimi öğrencilerin eylemini olabildiğince görmezden gelir, fakat eğitim bakanı Lange bu küçük eylemin ardından büyük bir eylem doğacağını düşünür. Sonrasında gelen tüm tehdit ve kuşkulara rağmen sınıf bir arada kalmayı başarabilecek midir? Das Schweigende Klassenzimmer filmini kült filmlerden 1080p türkçe altyazılı izle yebilirsiniz."
805,The Bob’s Burgers Movie - Bir Bob’s Burgers Filmi,7.4,2022,United States,102 dakika,"Animasyon, Komedi, Macera","Bernard Derriman, Loren Bouchard","oren Bouchard, Nora Smith","Dan Mintz, H. Jon Benjamin, Kristen Schaal",Bulunan ödül yok.,"Hikaye, kopan bir su borusunun Bob's Burgers'ın hemen önünde devasa bir düden oluşturarak girişi süresiz olarak kapatmasıyla ve Belcher'ların başarılı bir yaz için planlarını mahvetmesiyle başlar. Bob ve Linda işi ayakta tutmak için uğraşırken, çocuklar ailelerinin restoranını kurtarabilecek bir gizemi çözmeye çalışırlar. Tehlikeler arttıkça, bu mazlum aile bireyleri birbirlerine umut bulmalarında yardımcı olur ve ait oldukları yere, tezgahın arkasına geri dönmek için savaşırlar. Kült Filmlerden 1080p görüntü kalitesiyle The Bob's Burgers Movie izle yebilirsiniz"
806,Labyrinth of Lies - Yalan Labirenti(Im Labyrinth des Schweigens) ,7.3,2014,Almanya,2 dakika,"Dram, Tarih",Giulio Ricciarelli,"lisabeth Burghardt, Giulio Ricciarelli, Amelie Syberberg","Alexander Fehling, André Szymanski, Friederike Becht",6 ödül & 18 Adaylık.,"Genç ve hırslı bir savcı, amacı İkinci Dünya Savaşı (1939-1945) sırasında Nazilerin suçlarını örtbas etmek olan bir komploda Alman kurumlarının ve bazı hükümet üyelerinin ne kadar önemli olduğunu keşfeder."
807,Cape Fear - Korku Burnu,7.3,1991,Amerika,128 dakika,"Gerilim, Suç",Martin Scorsese,"ohn D. MacDonald, James R. Webb, Wesley Strick ","Jessica Lange, Juliette Lewis, Nick Nolte, Robert De Niro",2 Oscar Adaylığı. Diğer 5 ödül & 19 adaylık.,"Kamu avukatı olarak çalışan Sam yıllar önce Max Cady adındaki bir tecavüzcünün avukatlığını yapmıştır. Sam, Max'ın serbest kalmasını sağlayacak bir delili, cahilliğini fırsat bildiği müvekkilinden saklamıştır. Ancak Max hapisteyken vaktinin büyük bir kısmını okuyarak geçirmiştir ve avukatının kendine yaptığı bu durumun farkına varmıştır. 14 Yıl sonra hapisten intikam almaya aç bir halde çıkan bu adam Sam ve ailesinin peşine düşecektir. Cape Fear – Korku Burnu filmini kült filmlerden 720p görüntü kalitesiyle türkçe altyazılı izle yebilirsiniz."
808,Compartment Number 6 - 6 Numaralı Kompartıman(Hytti nro 6) ,7.3,2021,"Almanya, Estonia, Finland, Russia",107 dakika,"Dram, Romantik",Juho Kuosmanen,"ndris Feldmanis, Juho Kuosmanen, Rosa Liksom","Seidi Haarla, Yuliya Aug, Yuriy Borisov",9 ödül & 19 Adaylık.,"Finli bir yüksek lisans öğrencisi olan Laura, Rus sevgilisi Irina'ya veda etti ve kaya çizimlerini görmek için Kuzey Kutup Bölgesi'ndeki uzak bir şehir olan Murmansk'a giden bir trene bindi. Kısa süre sonra kaldığı kompartımanı çok sarhoş bir genç adam olan Ljoha ile paylaştığını öğrenir. Ljoha Murmansk'a madende çalışmaya gidiyor. Yolculuk devam ederken, Laura, görünüşe göre biraz çocuksu doğasına ve kasvetli, tamamen yaşama sevincini dile getirmeyen Ljoha'ya ısınıyor. Kült Filmlerden 1080p görüntü kalitesiyle Compartment Number 6 izle yebilirsiniz."
809,Murder by Death - 22 Numarada Cinayet,7.3,1976,United States,95 dakika,"Gizem, Komedi, Suç",Robert Moore,eil Simon,"Alec Guinness, Peter Falk, Peter Sellers",Bulunan ödül yok.,"Eksantrik milyoner Lionel Twain düyanın en iyi beş dedektifini maiyetleriyle birlikte bir akşam yemeği için şehir dışındaki kasvetli malikanesine davet eder. Bunlar Catalina'dan Sidney Wang, Belçika'dan Milo Perrier, San Francisco'dan Sam Diamond, New York'tan karı koca dedektifler Dick ve Dora Charleston ve İngiltere'den Jessica Marbles 'dır. Eve ayak bastıkları ilk dakikalardan itibaren dedektifler ve yanlarındaki yardımcılarının başlarına tuhaf kazalar gelmeye başlar. Nihayet yemekte ev sahibiyle tanışırlar. Ev sahibi Twain hemen konuya girer ve onları henüz gerçekleşmemiş bir cinayeti çözmek üzere biraraya getirmiş olduğunu, amacının ise suçbiliminde hepsinden daha iyi olduğunu kanıtlamak olduğunu söyler. Twain ayrıca konuklarına tam gece yarısı aralarından birinin öleceğini, gecenin sonuna kadar hayatta kalmayı başaran kişiye de 1 milyon dolar ödül vereceğini söyleyerek ortadan kaybolur. Kült Filmlerden 1080p görüntü kalitesiyle Murder by Death izle yebilirsiniz."
810,Alice Doesn’t Live Here Anymore - Alice Artık Burada Oturmuyor,7.3,1974,United States,112 dakika,"Dram, Romantik",Martin Scorsese,obert Getchell,"Ellen Burstyn, Kris Kristofferson, Mia Bendixsen",1 Oscar Kazandı. 6 ödül & 11 adaylık. total,"Kocası öldükten sonra, Alice ve oğlu Tommy, küçük New Mexico kasabalarını, Alice'in şarkıcı olmayı umduğu California'ya gitmek için terk eder. Para sorunları onları Alice'in küçük bir lokantada garsonluk yaptığı Arizona'ya yerleşmeye zorlar. Sadece yola çıkmak için gereken parayı kazanacak kadar Arizona'da kalmayı planlıyor, ancak planları, David adında bir çiftlik sahibine aşık olmaya başlayınca değişiyor. Kült Filmlerden 1080p görüntü kalitesiyle Alice Doesn't Live Here Anymore izle yebilirsiniz."
811,Full Moon in Paris - Dolunay Geceleri(Les nuits de la pleine lune) ,7.3,1984,Fransa,101 dakika,"Dram, Komedi, Romantik",Éric Rohmer,ric Rohmer,"Fabrice Luchini, Pascale Ogier, Tchéky Karyo",4 ödül & 7 Adaylık.,"Stajyer tasarımcı Louise, erkek arkadaşı Rémi ile Paris'in varoşlarında yaşıyor. Rémi evlenmek isterken, Louise özgürlüğünden vazgeçmek konusunda isteksizdir ve bu nedenle, ilişkilerini güçlendireceğine inanarak zamanının bir kısmını Paris'in merkezindeki dairesinde geçirmeye başlar. Ancak işler pek de planlandığı gibi gitmez. Paris'teki yeni yalnız hayatından sıkılan Louise, yazar arkadaşı Octave'i daha çok görür ve genç bir müzisyen olan Bastien ile flört etmeye başlar..."
812,The Painted Bird - Boyalı Kuş(Nabarvené ptáče) ,7.3,2019,"Çek Cumhuriyeti, Slovakya, Ukrayna",169 dakika,"Dram, Savaş",Václav Marhoul,"erzy Kosinski, Václav Marhoul ","Alla Sokolova, Nina Sunevic, Petr Kotlár, Stanislav Bilyi",15 ödül & 11 Adaylık.,"Yahudi bir çift, çocuklarını Yahudi katliamından kurtarmak için Doğu Avrupa kırsalında yaşayan teyzesine gönderir. Küçük çocuğun teyzesi beklenmedik bir şekilde ölür. Başıboş kalan çocuk, nefret, korku ve şiddet tarafından yönetilen düşmanca bu dünyada bir başına yola çıkar. Savaş bittiğinde, hayatta kalma mücadelesinin yerini başka bir mücadele alıyor, farkında bile olmayabileceği bir mücadele, kendisiyle bir mücadele, kendi ruhu ve geleceği için bir mücadele... The Painted Bird – Boyalı Kuş filmini kült filmlerden 1080p görüntü kalitesiyle altyazılı olarak izle yebilirsiniz."
813,Before the Devil Knows You’re Dead - Şeytan Duymadan Önce,7.3,2007,United States,117 dakika,"Dram, Suç",Sidney Lumet,elly Masterson,"Albert Finney, Ethan Hawke, Philip Seymour Hoffman",17 ödül & 27 Adaylık.,"Borçlu bir adam olan Andy'nin fazlaca paraya ihtiyacı var. Küçük kardeşi Hank'i aklındaki suçu işlemek için planın içine sokmaya çalışıyor Andy'nin planı babalarının kuyumcu dükkanını soymak. Plan korkunç bir şekilde ters gidiyor ve aile reisi, yakaladığı suçluların kendi oğulları olduğunun farkında olmadan adaleti kendi sağlamaya çalışıyor. Kült Filmlerden 1080p görüntü kalitesiyle Before the Devil Knows You’re Dead izle yebilirsiniz."
814,The Lodger: A Story of the London Fog,7.3,1927,United Kingdom,92 dakika,"Dram, Gizem, Suç",Alfred Hitchcock,"arie Belloc Lowndes, Eliot Stannard, Alfred Hitchcock","Ivor Novello, June Tripp, Marie Ault",1 ödül & 2 Adaylık.,"Bir ev sahibesi ve kocası yeni bir kiracı aldıklarında çok sevinirler. Yeni kiracıları sessiz, mütevazı bir kişidir ve bir aylık kirayı peşin ödemiştir. Ancak kiracının gizemli ve şüpheli davranışları, kısa sürede ev sahiplerinin onun yerel bir seri katil olduğundan şüphelenmelerine neden olmuştur. Kendini beğenmiş bir model olan kızları Daisy, bu konuda endişelenmese de polis dedektifi erkek arkadaşı, kıskançlık içinde, kiracının gerçek kimliğini ortaya çıkarmaya çalışır. Kült Filmlerden 1080p görüntü kalitesiyle The Lodger: A Story of the London Fog izle yebilirsiniz."
815,Holy Spider,7.3,2022,"Almanya, Denmark, Fransa, Sweden",116 dakika,"Dram, Suç",Ali Abbasi,"li Abbasi, Afshin Kamran Bahrami","Arash Ashtiani, Mehdi Bajestani, Zar Amir-Ebrahimi",Bulunan ödül yok.,"Holy Spider'te, İran'ın kutsal şehri Meşhed'i ahlaksız ve yozlaşmış sokak fahişelerinden ""temizlemek"" için kendi dini arayışına girişen aile babası Saeed'i takip ediyoruz. Birkaç kadını öldürdükten sonra, ilahi görevinde halkın ilgisinin eksikliği konusunda giderek daha umutsuz hale gelir. Kült Filmlerden 1080p görüntü kalitesiyle Holy Spider izle yebilirsiniz."
816,Aşk Tesadüfleri Sever(Love Likes Coincidences) ,7.3,2011,Türkiye,118 dakika,"Dram, Romantik, Yerli",Ömer Faruk Sorak,uran Evren Sit,"Altan Erkekli, Belçim Bilgin, Mehmet Günsür",2 ödül & 1 nomination,"Yıl 1977, Ankara'da bir Eylül sabahı... Yılmaz, hamile karısı Neriman'ı hastaneye yetiştirmeye çalışır ve Ömer'in arabasına çarpar. Bu kaza Ömer'in arka koltukta oturan hamile eşi İnci'nin erken doğum yapmasına neden olur. Bebekler aynı gün doğar. Bu kaza, Özgür ve Deniz'i bir araya getiren tesadüflerin eşiğidir. Çocukluk ve gençlik yıllarında Ankara'da birkaç kez karşılaşırlar. Her kavşakta kelebek etkisi vardır ve bu da hayatlarında köklü değişikliklere neden olur. Birbirlerinin yavru aşkı ya da ilk kalp kırıklıkları haline gelirler... Ama bunun da ötesinde, her kesişme hayatlarının rotasını değiştirir. Sadece onların değil, ailelerinin de... Bazen felaketlere, bazen mucizelere neden oluyorlar. Ancak asla birlikte olamazlar. Onları bir araya getiren her neyse, aralarına şeffaf bir duvar örmeyi başarır. Ta ki 25 yıl sonra İstanbul'da tekrar karşılaşana kadar... Kült Filmlerden 1080p görüntü kalitesiyle Aşk Tesadüfleri Sever izle yebilirsiniz."
817,"Daughters, Wives and a Mother - Musume Tsuma Haha",7.3,1960,Japan,123 dakika,Dram,Mikio Naruse,"oshirô Ide, Zenzô Matsuyama","Hideko Takamine, Masayuki Mori, Setsuko Hara",Bulunan ödül yok.,"Geniş bir ailenin en büyük kızı (Hara), dul olduktan kısa bir süre sonra, annesi (Mimasu), erkek kardeşi (Mori) ve karısı (Takamine) yaşamak için eve döner. Çeşitli aile üyeleri, kocasının ona bıraktığı parayı kullanmak istediğinde sorun çıkar. Kült Filmlerden 1080p görüntü kalitesiyle Daughters, Wives and a Mother izle yebilirsiniz."
818,Firebird,7.3,2021,"Estonia, United Kingdom",107 dakika,"Dram, Romantik",Peeter Rebane,"eeter Rebane, Tom Prior, Sergey Fetisov","Diana Pozharskaya, Oleg Zagorodnii, Tom Prior",6 ödül & 2 Adaylık.,"Soğuk Savaş sırasındaki gerçek bir hikayeye dayanan Firebird, 1970'lerin sonlarında Komünist yönetimi sırasında bir Sovyet Hava Kuvvetleri üssünde geçen tutkulu bir aşk hikayesidir. Moskova'da bir aktör olmayı hayal eden duygulu genç asker Sergey, askerlik hizmetinin bitmesi için gün sayıyor. Üssüne yeni atanan esrarengiz savaş pilotu Roman'a gözlerini kilitlediğinde hayatı alt üst olur."
819,Nobody’s Fool - Yaşamın İçinden,7.3,1994,United States,110 dakika,"Dram, Komedi",Robert Benton,"ichard Russo, Robert Benton","Bruce Willis, Jessica Tandy, Paul Newman",2 Oscar Adaylığı. 5 ödül & 10 adaylık. total,"Donald ""Sully"" Sullivan yetişkin sorumluluklarından kaçınma konusunda uzmandır. 60 yaşında, tüm zamanını yerel bir bar ile ara sıra inşaat işi arasında geçiriyor. Ayrı yaşadığı oğlu Peter, yanında bir oğlu ve başarısız evliliğiyle ilgili hüzünlü bir hikayeyle kasabaya geldiğinde, Sully kendini hem baba hem de büyükbaba rollerini üstlenirken bulur. "
820,Day of the Outlaw - Kanunsuzlar Diyarı,7.3,1959,United States,92 dakika,Western,André De Toth,"ee E. Wells, Philip Yordan","Burl Ives, Robert Ryan, Tina Louise",Bulunan ödül yok.,"Yüzbaşı Jack Bruhn liderliğindeki bir haydut çetesi geceyi küçük bir Batı kasabasında geçirmeye karar verdiğinde, kovboylar ve çiftçiler farklılıklarını bir kenara bırakmak zorunda kalırlar."
821,Last Train from Gun Hill - Kan Davasının Sonu(Gun Hill'den Tren) ,7.3,1959,United States,95 dakika,Western,John Sturges,"es Crutchfield, James Poe","Anthony Quinn, Carolyn Jones, Kirk Douglas",Bulunan ödül yok.,"Mareşal Matt Morgan'ın karısı tecavüze uğrar ve öldürülür. Katiller, Morgan'ın, Gun Hill kasabasında sığır baronu olan eski arkadaşı Craig Belden'a ait olduğunu kabul ettiği kendine özgü bir eyer arkalarında bırakıyor. Katillerden birinin Belden'in oğlu Rick olduğu ortaya çıkınca Morgan, Rick'i yakalamaya ve onu 9.00 treniyle götürmeye kararlıdır; ama Belden ve tüm adamları şimdi Morgan'ı öldürmeye çalışırken o kasabada tek başına kapana kısılır. Kült Filmlerden 1080p görüntü kalitesiyle Last Train from Gun Hill izle yebilirsiniz."
822,Something to Remind Me - Toter Mann,7.3,2001,Almanya,90 dakika,"Dram, Gerilim",Christian Petzold,hristian Petzold,"André Hennicke, Nina Hoss, Sven Pippig",5 ödül & 5 Adaylık.,"Orta yaşlı avukat Thomas, bir banliyö yüzme havuzunda mesafeli ve içine kapanık genç sarışın güzel Leyla ile tanışır. Thomas ona aşık olur ve onunla birkaç kez karşılaştıktan sonra cesaretini toplayarak çıkma teklif eder. Leyla şaşırtıcı bir şekilde teklifi kabul eder, ancak randevuya geç kalır ve restoran zaten kapanmaktadır. Hazırlıksız bir yemek için Thomas'ın dairesine giderler ve birkaç içkiden sonra Leyla kanepede uyuyakalır. Ertesi sabah Thomas uyandığında Leyla ve dizüstü bilgisayarının kayıp olduğunu görür. Yaralı ve şaşkın bir halde onu aramaya başlar, ancak onun işini ve şehri terk ederek ortadan kaybolduğunu öğrenir..."
823,Licorice Pizza(Meyan Köklü Pizza) ,7.3,2021,"Canada, United States",133 dakika,"Dram, Komedi, Romantik",Paul Thomas Anderson,aul Thomas Anderson,"Alana Haim, Cooper Hoffman, Sean Penn",3 Oscar Adaylığı. 58 ödül & 182 adaylık. total,"San Fernando Valley, 1973. Korkusuz özgüveni ve şaşırtıcı olgunluğuyla silahsızlanan 25 yaşındaki fotoğrafçı asistanı Alana Kane, beklenmedik hayranı olan 15 yaşındaki Gary Valentine ile bir şeyler içmek için dışarı çıkmayı isteksizce kabul eder. Bir şey diğerine yol açarken, platonik ruh ikizleri çılgın bir dünyada amaçlarını bulmaya çalışarak hırslı iş girişimlerine başlarlar. Ama hayatın iniş çıkışları karşısında Gary ve Alana arkadaş kalabilecek midir? Kült Filmlerden 1080p görüntü kalitesiyle Licorice Pizza izle yebilirsiniz."
824,Moonlighting - Ay Işığı,7.3,1982,United Kingdom,97 dakika,Dram,Jerzy Skolimowski,erzy Skolimowski,"Eugene Lipinski, Jeremy Irons, Jiri Stanislav",3 ödül & 3 Adaylık.,"Dört Polonyalı işçi, iki aylık bir iş için bir aylık turist vizesiyle İngiltere'ye geliyor. Grubun tek İngilizce bilen lideri, Polonya'da olağanüstü halin kurulduğunu televizyonda öğrenir, ancak arkadaşlarına söylememeye karar verir."
